"Facility Name","Facility Name#",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Meadow Lake Wind Farm","Meadow Lake Wind Farm","Meadow Lake Wind Farm","Definition:Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","200 MW",121,2009,Vestas,"In Service","40.601111°, -86.864167°"
"Meadow Ridge","Meadow Ridge","Meadow Ridge","Definition:Community Wind","Meadow Ridge Wind Energy LLC (community owned)",,"Central Iowa Power Cooperative","Greenfield IA","1.6 MW",1,2012,"GE Energy","In Service","41.39004255°, -94.44637299°"
"Medicine Bow Wind Farm I","Medicine Bow Wind Farm I","Medicine Bow","Definition:Commercial Scale Wind","Platte River Power Authority","Platte River Power Authority","Platte River Power Authority","Medicine Bow WY","3.3 MW",5,1999,Vestas,"In Service","41.927554°, -106.371968°"
"Medicine Bow Wind Farm II","Medicine Bow Wind Farm II","Medicine Bow","Definition:Commercial Scale Wind","Platte River Power Authority","Platte River Power Authority","Platte River Power Authority","Medicine Bow WY","1.32 MW",2,2000,Vestas,"In Service","41.927554°, -106.371968°"
"Medicine Bow Wind Farm III","Medicine Bow Wind Farm III","Medicine Bow","Definition:Small Scale Wind","Platte River Power Authority","Platte River Power Authority","Platte River Power Authority","Medicine Bow WY","0.07 MW",1,1996,Nordtank,"In Service","41.927554°, -106.371968°"
"Medicine Bow Wind Farm IV","Medicine Bow Wind Farm IV","Medicine Bow","Definition:Commercial Scale Wind","Platte River Power Authority","Northern Alternative Energy","Platte River Power Authority","Medicine Bow WY","1.2 MW",2,1998,Vestas,"In Service","41.927554°, -106.371968°"
Mehoopany,Mehoopany,Mehoopany,"Definition:Commercial Scale Wind","BP Wind Energy / Sempra Energy","BP Wind Energy","ODEC / SMECO","WY County PA","140.8 MW",88,2012,"GE Energy","In Service","41.43616334°, -76.09405518°"
"Memorial Middle School Wind Project","Memorial Middle School Wind Project","Memorial Middle School","Definition:Community Wind",,,,SD,,1,,SkyStream,,"43.532688°, -96.818901°"
"Mendota Hills Wind Farm","Mendota Hills Wind Farm","Mendota Hills","Definition:Commercial Scale Wind","GE Energy","Navitas Energy",Exelon,"Near Paw Paw IL","50.4 MW",63,2003,Gamesa,"In Service","41.738291°, -89.044032°"
"Meridian Public Schools Wind Project","Meridian Public Schools Wind Project","Meridian Public Schools","Definition:Community Wind",,,,NE,,1,,SkyStream,,"40.317871°, -97.329475°"
"Meridian Trust Wind Farm I","Meridian Trust Wind Farm I","Meridian Trust","Definition:Commercial Scale Wind","NextEra Energy Resources","Kenetech Windpower","Southern California Edison Co","San Gorgonio CA","0.15 MW",1,,Bonus,"In Service","33.9095°, -116.734°"
"Meridian Trust Wind Farm II","Meridian Trust Wind Farm II","Meridian Trust","Definition:Commercial Scale Wind","NextEra Energy Resources","Kenetech Windpower","Southern California Edison Co","San Gorgonio CA","7.4 MW",74,,Kenetech,"In Service","33.9095°, -116.734°"
"Meridian Way II Wind Farm","Meridian Way II Wind Farm","Meridian Way II","Definition:Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Westar Energy/Empire District Electric","Cloud County KS","96 MW",32,2008,Vestas,"In Service","39.43274°, -97.545217°"
"Meridian Way Wind Farm","Meridian Way Wind Farm","Meridian Way","Definition:Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Westar Energy/Empire District Electric","Cloud County KS","105 MW",35,2008,Vestas,"In Service","39.43274°, -97.545217°"
"Mesa County Valley Wind Project","Mesa County Valley Wind Project","Mesa County Valley","Definition:Community Wind",,,,CO,,1,,SkyStream,,"39.076191°, -108.508514°"
"Mesalands Community College Wind Farm","Mesalands Community College Wind Farm","Mesalands Community College","Definition:Community Wind","Mesalands Community College","Mesalands Community College","Mesalands Community College","Tucumcari NM","1.5 MW",1,2008,"GE Energy","In Service","35.170978°, -103.736088°"
"Metro Wind LLC Wind Farm","Metro Wind LLC Wind Farm","Metro Wind LLC","Definition:Commercial Scale Wind","NAE/Enel North America","Northern Alternative Energy","Xcel Energy","Elk River - Sherbourne County MN","0.66 MW",1,2001,Vestas,"In Service","45.379527°, -93.634011°"
"Meyersdale Wind Farm","Meyersdale Wind Farm",Meyersdale,"Definition:Commercial Scale Wind","NextEra Energy Resources","Atlantic Renewable Energy",FirstEnergy,"Somerset County PA","30 MW",20,2003,"NEG Micon","In Service","39.786246°, -79.004659°"
"Michigan Offshore Wind Pilot Project","Michigan Offshore Wind Pilot Project","Michigan Offshore Wind Pilot Project","Definition:Offshore Wind","Mighigan Alternative and Renewable Energy Center","Mighigan Alternative and Renewable Energy Center",,"Muskegon Lake MI","0.6 MW",1,,,Proposed,"43.231°, -86.307°"
"Michigan Wind I Wind Farm","Michigan Wind I Wind Farm","Michigan Wind I","Definition:Commercial Scale Wind","John Deere Wind","Noble Environmental Power","Consumers Energy","Huron County MI","69 MW",46,2008,"GE Energy","In Service","43.7099°, -82.9388°"
"Michigan Wind II Wind Farm","Michigan Wind II Wind Farm","Michigan Wind II Wind Farm","Definition:Commercial Scale Wind","Exelon Wind","Exelon Wind","Consumers Energy","Minden City MI","90 MW",50,2011,Vestas,"In Service","43.6572421°, -82.7681278°"
"Mid-Atlantic Wind Park","Mid-Atlantic Wind Park","Mid-Atlantic Wind Park","Definition:Offshore Wind",,"NRG Bluewater Wind",,"Offshore from Rehoboth Beach DE","450 MW",150,,"Vestas (Anticipated)",Proposed,"38.633333°, -74.775°"
"Midwest Underground Technology","Midwest Underground Technology","Midwest Underground Technology","Definition:Small Scale Wind","Midwest Underground Technology",,"Midwest Underground Technology","Champaign IL","0.1 MW",1,2010,"Northern Power Systems","In Service","40.15020987°, -88.29149723°"
"Milford Wind Corridor Phase I (Clipper) Wind Farm","Milford Wind Corridor Phase I (Clipper) Wind Farm","Milford Wind Corridor Phase I (Clipper)","Definition:Commercial Scale Wind","First Wind","First Wind","Southern California Public Power Authority","Milford UT","145 MW",58,2009,Clipper,"In Service","38.52227°, -112.935262°"
"Milford Wind Corridor Phase I (GE Energy)","Milford Wind Corridor Phase I (GE Energy)","Milford Wind Corridor Phase I (GE Energy)","Definition:Commercial Scale Wind","First Wind","First Wind","Southern California Public Power Authority","Milford UT","58.5 MW",39,2009,"GE Energy","In Service","38.52227°, -112.935262°"
"Milford Wind Corridor Phase II","Milford Wind Corridor Phase II","Milford Wind Corridor Phase II","Definition:Commercial Scale Wind","First Wind","First Wind","Southern California Public Power Authority","Millard and Beaver County UT","102 MW",68,2011,"GE Energy","In Service","38.645608°, -112.878027°"
"Mill Run Wind Power Project","Mill Run Wind Power Project","Mill Run Wind Power Project","Definition:Commercial Scale Wind","NextEra Energy Resources","Atlantic Renewable Energy",Exelon,"Mill Run PA","15 MW",10,2001,"GE Energy","In Service","39.921026°, -79.388666°"
"Miller Schools Wind Project","Miller Schools Wind Project","Miller Schools","Definition:Community Wind",,,,SD,,1,,SkyStream,,"44.521069°, -98.979942°"
"Milner Dam Wind Park","Milner Dam Wind Park","Milner Dam Wind Park","Definition:Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Cassia County ID","19.5 MW",13,2010,"GE Energy","In Service","42.495962°, -114.021106°"
"MinWind I & II Wind Farm","MinWind I & II Wind Farm","MinWind I & II","Definition:Commercial Scale Wind","'Farmer's Cooperative","Farmer's Cooperative with Dan Juhl","Alliant Energy","Rock County MN","3.8 MW",4,2002,"NEG Micon","In Service","43.6748°, -96.2622°"
"MinWind III-IX Wind Farm","MinWind III-IX Wind Farm","MinWind III-IX","Definition:Commercial Scale Wind",,,"Xcel Energy","Near Luverne MN","11.55 MW",7,2004,"NEG Micon","In Service","43.6505°, -96.3892°"
"Minco II Wind Energy Center","Minco II Wind Energy Center","Minco II Wind Energy Center","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Google Energy","South of Minco OK","100.8 MW",63,2011,"GE Energy","In Service","35.346236°, -98.00364°"
"Minco III","Minco III","Minco III","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Golden Spread Electric Cooperative","Minco OK","100.8 MW",63,2012,"GE Energy","In Service","35.35444115°, -98.13928127°"
"Minco Wind Energy Center","Minco Wind Energy Center","Minco Wind Energy Center","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Public Service Company of Oklahoma","South of Minco OK","99.2 MW",62,2010,,"In Service","35.294204°, -97.926081°"
"Minden Wind Park","Minden Wind Park","Minden Wind Park","Definition:Commercial Scale Wind","Detroit Edison","Detroit Edison","Detroit Edison","Minden City MI","25 MW",16,2012,"GE Energy","In Service","43.637272°, -82.78022°"
"Minn-Dakota Wind Farm I","Minn-Dakota Wind Farm I","Minn-Dakota Wind Farm","Definition:Commercial Scale Wind","PPM Energy Inc","PPM Energy Inc","Xcel Energy","Lincoln County SD","54 MW",36,2007,"GE Energy","In Service","44.385567°, -96.436572°"
"Minn-Dakota Wind Farm II","Minn-Dakota Wind Farm II","Minn-Dakota Wind Farm","Definition:Commercial Scale Wind","Iberdrola Renewables","PPM Energy Inc","Xcel Energy","Lincoln County MN","96 MW",64,2007,"GE Energy","In Service","44.385567°, -96.436572°"
"Minnesota Wind Share Wind Farm","Minnesota Wind Share Wind Farm","Minnesota Wind Share","Definition:Commercial Scale Wind",Various,"Project Resources Corp.","Xcel Energy","Lake Wilson MN","5.4 MW",3,2006,"Suzlon Energy Company","In Service","43.996°, -95.9532°"
"Minnkota Power Cooperative Wind Turbine (Petersburg)","Minnkota Power Cooperative Wind Turbine (Petersburg)","Minnkota Power Cooperative Wind Turbine (Petersburg)","Definition:Commercial Scale Wind","Minnkota Power Cooperative","Minnkota Power Cooperative","Minnkota Power Cooperative","East of Petersburg ND","0.9 MW",1,2002,"NEG Micon","In Service","48.008793°, -97.930931°"
"Minnkota Power Cooperative Wind Turbine (Valley City)","Minnkota Power Cooperative Wind Turbine (Valley City)","Minnkota Power Cooperative Wind Turbine (Valley City)","Definition:Commercial Scale Wind","Minnkota Power Cooperative","Minnkota Power Cooperative","Minnkota Power Cooperative","East of Valley City - Oriska Hills ND","0.9 MW",1,2001,"NEG Micon","In Service","46.918681°, -97.891581°"
Minonk,Minonk,Minonk,"Definition:Commercial Scale Wind","Algonquin Power",Gamesa,Merchant,"Minonk IL","200 MW",100,2012,Gamesa,"In Service","40.8632902°, -88.94342422°"
"Minot Wind 2","Minot Wind 2","Minot Wind 2","Definition:Commercial Scale Wind","Prairie Winds ND 1","Basin Electric","Basin Electric","South of Minot ND","4.5 MW",3,2009,"GE Energy","In Service","48.02516°, -101.290905°"
"Missouri River Energy Services (MRES) Wind Farm (2002)","Missouri River Energy Services (MRES) Wind Farm (2002)","Missouri River Energy Services (MRES)","Definition:Commercial Scale Wind","Missouri River Energy Services (MRES)","Missouri River Energy Services (MRES) with Tom Wind","MRES/ Worthington Public Utilities","Worthington - Nobles County MN","3.6 MW",4,2002,"NEG Micon","In Service","43.6659°, -95.7493°"
"Missouri River Energy Services (MRES) Wind Farm (2003)","Missouri River Energy Services (MRES) Wind Farm (2003)","Missouri River Energy Services (MRES)","Definition:Commercial Scale Wind",,"Missouri River Energy Services","Missouri River Energy Services","Worthington County MN","1.9 MW",2,2003,"NEG Micon","In Service","43.6659°, -95.7493°"
"Moe Wind Farm","Moe Wind Farm","Moe Wind Farm","Definition:Commercial Scale Wind",,"Two Dot Wind LLC",,"Wheatland MT","0.5 MW",6,2007,Vestas,"In Service","46.32°, -110.09°"
"Mogul Energy Wind Farm","Mogul Energy Wind Farm","Mogul Energy","Definition:Commercial Scale Wind",,"Mogul Energy","Southern California Edison Co","Tehachapi CA","4 MW",8,,Mitsubishi,"In Service","35.07665°, -118.25529°"
"Mojave 16-17-18 Wind Farm I","Mojave 16-17-18 Wind Farm I","Mojave 16/17/18","Definition:Commercial Scale Wind","NextEra Energy Resources/Tomen",SeaWest,"Southern California Edison Co","Tehachapi CA","66.75 MW",267,1989,Mitsubishi,"In Service","35.07665°, -118.25529°"
"Mojave 16-17-18 Wind Farm II","Mojave 16-17-18 Wind Farm II","Mojave 16/17/18","Definition:Commercial Scale Wind","NextEra Energy Resources/Tomen",SeaWest,"Southern California Edison Co","Tehachapi CA","18 MW",30,1989,Mitsubishi,"In Service","35.07665°, -118.25529°"
"Mojave 90 (3 & 5) Wind Farm","Mojave 90 (3 & 5) Wind Farm","Mojave 90 (3 & 5)","Definition:Commercial Scale Wind","NextEra Energy Resources/Tomen",SeaWest,"Southern California Edison Co","Tehachapi CA","46 MW",184,1990,Mitsubishi,"In Service","35.07665°, -118.25529°"
"Mojave 90 (4) Wind Farm","Mojave 90 (4) Wind Farm","Mojave 90 (4)","Definition:Commercial Scale Wind",,SeaWest,"Southern California Edison Co","Tehachapi CA","29 MW",116,1990,Mitsubishi,"In Service","35.07665°, -118.25529°"
"Mojave/Morowind Wind Farm","Mojave/Morowind Wind Farm",Mojave/Morowind,"Definition:Commercial Scale Wind",Tomen,Tomen,"Southern California Edison Co","Tehachapi CA","35.4 MW",59,2002,Mitsubishi,"In Service","35.07665°, -118.25529°"
"Monhegan Island","Monhegan Island","Monhegan Island","Definition:Offshore Wind","Maine State Dept of Conservation","DeepCWind Consortium",,"Atlantic Ocean ME","0.22 MW",1,,,Proposed,"43.713°, -69.317°"
"Montana State University Wind Project","Montana State University Wind Project","Montana State University","Definition:Community Wind",,,,MT,,1,,SkyStream,,"45.662834°, -111.044098°"
"Montezuma Wind Project","Montezuma Wind Project","Montezuma Wind Project","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Pacific Gas & Electric Co","Solano CA","36.8 MW",16,2011,Siemens,"In Service","38.107973°, -121.853156°"
"Montezuma Winds II","Montezuma Winds II","Montezuma Winds II","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Pacific Gas & Electric Co","Rio Vista CA","78.2 MW",34,2012,Vestas,"In Service","38.16867552°, -121.8061924°"
"Montfort Wind Farm","Montfort Wind Farm","Montfort Wind Farm","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","We Energies/Alliant Energy","Montfort WI","30 MW",20,2001,"GE Energy","In Service","42.96266°, -90.379987°"
"Moorhead Wind (Freedom)","Moorhead Wind (Freedom)","Moorhead Freedom","Definition:Community Wind","City of Moorhead, Minnesota (Utility Company)",,"City of Moorhead, Minnesota (Utility Company)","28th Street and 15th Avenue North","0.75 MW",1,1999,"NEG Micon","In Service","46.895158°, -96.73081°"
"Moorhead Wind (Zephyr)","Moorhead Wind (Zephyr)","Moorhead Zephyr","Definition:Community Wind","City of Moorhead, Minnesota (Utility Company)",,"City of Moorhead, Minnesota (Utility Company)","28th Street and 15th Avenue North","0.75 MW",1,1999,"NEG Micon","In Service","46.895158°, -96.73081°"
"Moraine II Wind Farm","Moraine II Wind Farm","Moraine II","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Xcel Energy","Pipestone & Murray Counties MN","49.5 MW",33,2009,"GE Energy","In Service","44.012466°, -96.114764°"
"Moraine Wind Power Project","Moraine Wind Power Project","Moraine Wind Power Project","Definition:Commercial Scale Wind","PPM Energy Inc","PPM Energy Inc","Xcel Energy","Pipestone and Murray Counties MN","51 MW",34,2003,"GE Energy","In Service","43.993574°, -96.047301°"
"Morning Light","Morning Light","Morning Light","Definition:Commercial Scale Wind","MidAmerican Energy","Clipper Windpower Development Company","MidAmerican Energy","Casey IA","101.2 MW",44,2012,Siemens,"In Service","41.44819506°, -94.58280087°"
"Moulton Chandler Hills Wind Farm Phase II","Moulton Chandler Hills Wind Farm Phase II","Moulton Chandler Hills Wind Farm Phase II","Definition:Commercial Scale Wind","Great River Energy",EnXco,"Great River Energy","Near Chandler MN","1.98 MW",3,2001,Vestas,"In Service","43.9189°, -95.9557°"
"Mount St. Mary's Abbey","Mount St. Mary's Abbey","Mount St. Mary's Abbey","Definition:Small Scale Wind","Mount St. Mary's Abbey","Sustainable Energy Developments","Mount St. Mary's Abbey","Wrentham MA","0.1 MW",1,2009,,"In Service","42.033096°, -71.393711°"
"Mount Wachusetts Community College Wind Project","Mount Wachusetts Community College Wind Project","Mount Wachusetts Community College Wind Project","Definition:Community Wind","Mount Wachusetts Community College","Mount Wachusetts Community College","Mount Wachusetts Community College","Gardner MA","3.3 MW",2,2011,Vestas,"In Service","42.58855651°, -71.98396683°"
"Mount Wachusetts Wind Farm","Mount Wachusetts Wind Farm","Mount Wachusetts Wind Farm","Definition:Commercial Scale Wind","Princeton Municipal Light","CEI - Iberdrola","Princeton Municipal Light","Near Princeton MA","3 MW",2,2009,,"In Service","42.588458°, -71.98387°"
"Mountain Air","Mountain Air","Mountain Air","Definition:Commercial Scale Wind","Terna Energy","Terna Energy","Idaho Power","Hammett ID","138 MW",60,2012,Vestas,"In Service","42.98719519°, -115.3985024°"
